gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849885391144397203e+06,4.656226046378630213e+06,3.287199942200042773e+06,5.035161437102768645e+00,4.947636314196822482e+00,4.949008493630232763e+00
-2.849889348716501612e+06,4.656222903069722466e+06,3.287185034036363941e+06,4.989150312021653377e+00,4.943463728334075213e+00,4.952116099439083818e+00
-2.849875718876067083e+06,4.656222220930725336e+06,3.287189804519156925e+06,4.940745278016922981e+00,4.964642384773216399e+00,5.100435117685853115e+00
-2.849882282521169633e+06,4.656214689231623895e+06,3.287201661328977440e+06,4.962016923037546157e+00,5.003784005900498322e+00,5.029560201794422092e+00
-2.849884416655142792e+06,4.656208710927911103e+06,3.287196817802237347e+06,5.011631558529719754e+00,4.951629581212792175e+00,4.961355161913360234e+00
-2.849888798676711973e+06,4.656214525689351372e+06,3.287186416683152784e+06,5.071672542892210700e+00,5.072904932095731567e+00,4.944282349946345967e+00
-2.849890136145982426e+06,4.656218801311003976e+06,3.287191124556624331e+06,5.055699598408687656e+00,5.006132833199087528e+00,5.079732507560271948e+00
-2.849880566411307547e+06,4.656218796463331208e+06,3.287191635005543008e+06,5.037958574561790748e+00,4.968825395673736267e+00,5.097981867026264879e+00
-2.849883966188117396e+06,4.656215284363103099e+06,3.287184401186797768e+06,5.034263131843096595e+00,5.064798413517748621e+00,5.032304063980896913e+00
-2.849885391258303542e+06,4.656217574764896184e+06,3.287187398855825886e+06,5.003156045053834156e+00,5.013069096969781313e+00,4.992679391690583834e+00
-2.849882829950380605e+06,4.656217535057004541e+06,3.287195526339050382e+06,5.093878455105083525e+00,4.929021531284009328e+00,4.961917076794956749e+00
-2.849883459426523186e+06,4.656217484937138855e+06,3.287196497524990700e+06,5.021528078315838250e+00,4.967585340967967333e+00,4.996545511013804841e+00
-2.849881128570873756e+06,4.656214431461520493e+06,3.287194022843435872e+06,5.036218079997158981e+00,4.964494995935158528e+00,5.008330533636603299e+00
-2.849894170227895025e+06,4.656226078648615628e+06,3.287189459957298823e+06,5.027394931202055162e+00,5.037417222796842786e+00,4.924587131384348559e+00
-2.849882605841985438e+06,4.656221304970780388e+06,3.287196387656350154e+06,5.062242218305119223e+00,5.062450592983658737e+00,5.015161077263512901e+00
-2.849875900650602765e+06,4.656222213145417161e+06,3.287207996973831207e+06,4.968294135381762899e+00,5.031239568287977804e+00,4.989777116335229579e+00
-2.849876807394811418e+06,4.656220768067260273e+06,3.287192692957473919e+06,5.013662042631146676e+00,5.061233399641412056e+00,5.036545031252685156e+00
-2.849882488464862108e+06,4.656216803218435496e+06,3.287198948675968219e+06,5.014808173570776795e+00,4.875255718795400206e+00,5.089438121328447195e+00
-2.849879476990727708e+06,4.656215459865752608e+06,3.287190955600355286e+06,5.011488637685888925e+00,4.963268643735648133e+00,5.022116923020099932e+00
-2.849875997855747584e+06,4.656214976279336959e+06,3.287201332019590773e+06,5.080988015697460725e+00,5.008631985811507370e+00,4.907281962727372715e+00
-2.849883365365130827e+06,4.656226695844167843e+06,3.287194823208573740e+06,4.975860180926178877e+00,5.058186303269592621e+00,5.050748401212759475e+00
-2.849888381669585127e+06,4.656212007475585677e+06,3.287205418513138779e+06,4.965033263580878931e+00,4.949408155108321772e+00,5.022186280754894483e+00
-2.849883503232291434e+06,4.656219596918996423e+06,3.287205278924209997e+06,5.031408217095761692e+00,5.101533811141369945e+00,4.887046799428778954e+00
-2.849876628060707822e+06,4.656217925527851097e+06,3.287181626604708843e+06,4.872822435312749612e+00,5.067239289521393353e+00,4.964295904171453166e+00
-2.849883043319024611e+06,4.656219909899779595e+06,3.287183015727003105e+06,5.034772567632650464e+00,5.025317170764915353e+00,4.977117997463494703e+00
-2.849885049407729413e+06,4.656216841801005416e+06,3.287203687313818838e+06,4.930899767285359836e+00,4.860890467464125564e+00,4.977426880983080615e+00
-2.849876530301094521e+06,4.656229702950313687e+06,3.287195014090065379e+06,4.955268417919032053e+00,5.083224155946603595e+00,5.004040711684160314e+00
-2.849879529833316803e+06,4.656215987749751657e+06,3.287198993988021277e+06,4.956239318843560504e+00,5.039335640639217573e+00,5.002449525687960197e+00
-2.849874951804708224e+06,4.656214775757897645e+06,3.287189262737295125e+06,5.018810553729371904e+00,4.996700194326558098e+00,4.921190350009293724e+00
-2.849888219240482431e+06,4.656220407311272807e+06,3.287198367567852139e+06,5.039723154975257025e+00,5.014581010901021152e+00,5.026780757011017009e+00
-2.849887178626100998e+06,4.656217549599980004e+06,3.287193553647099528e+06,5.025008740995638767e+00,5.022429181896859163e+00,5.016170729004746143e+00
-2.849882376237373333e+06,4.656209218974130228e+06,3.287187101165904664e+06,5.116641677867563409e+00,5.013147559406907483e+00,5.010558004035633672e+00
-2.849877798907844815e+06,4.656223175176978111e+06,3.287198173107348848e+06,4.904025401378898863e+00,4.969554686568139701e+00,5.010175432513450211e+00
-2.849886981352873147e+06,4.656206620459549129e+06,3.287209299081651494e+06,5.006179604931533689e+00,5.034192060833145632e+00,5.024053704330806447e+00
-2.849892504989249632e+06,4.656224556080183946e+06,3.287191573654514272e+06,4.986682382416590009e+00,5.003943204762840047e+00,5.014808362216027326e+00
-2.849887730885650031e+06,4.656223321374777704e+06,3.287200008037083782e+06,5.017463175103750395e+00,4.936846022549655544e+00,5.024571508321706403e+00
-2.849872804890534841e+06,4.656214857407924719e+06,3.287183202618263196e+06,4.996884174283145796e+00,4.928178161484637165e+00,5.034937291626677691e+00
-2.849881800504573155e+06,4.656207827537985519e+06,3.287194095492857974e+06,5.008395426211837531e+00,5.048300431567368740e+00,4.993658496883604414e+00
-2.849877702001296449e+06,4.656216284234857187e+06,3.287193387137048412e+06,5.000924800911610291e+00,5.044299770614861345e+00,4.945373834361034504e+00
-2.849877810155746993e+06,4.656221227718454786e+06,3.287196275996297132e+06,5.009591554668761937e+00,5.031235684914033612e+00,5.029537658055822646e+00
-2.849883639203681611e+06,4.656223885622547008e+06,3.287198692707829177e+06,5.041711925146594275e+00,4.958384834701137223e+00,5.094771671717862382e+00
-2.849876737033884972e+06,4.656221937559260055e+06,3.287193596672073938e+06,4.980273978583647398e+00,4.990717206500580261e+00,4.928338855935222362e+00
-2.849881501532312948e+06,4.656216441165951081e+06,3.287201095821543131e+06,5.102304284051757399e+00,5.003208776773913513e+00,5.071650415405084544e+00
-2.849883901058240794e+06,4.656213582380132750e+06,3.287198604169623461e+06,4.949946991421525944e+00,4.956649839662919277e+00,4.940295381818385678e+00
-2.849885274177745450e+06,4.656220015889763832e+06,3.287194991282263305e+06,4.976407453954566407e+00,4.950379911076214334e+00,5.040219179869120936e+00
-2.849881425413918681e+06,4.656226709843859076e+06,3.287195284504105337e+06,4.964072240395712043e+00,4.946179907647301199e+00,5.109489803602455638e+00
-2.849878451179582626e+06,4.656213330024528317e+06,3.287208360460600350e+06,4.970340437384026977e+00,5.020562335082557226e+00,5.033876161191669141e+00
-2.849881397064482793e+06,4.656218152711362578e+06,3.287201712836891878e+06,5.069993010109810072e+00,5.011522748088869328e+00,4.959319318875762050e+00
-2.849884607974385843e+06,4.656227441181369126e+06,3.287193429843930993e+06,5.047838214059892081e+00,4.999907802004982749e+00,4.903350061868236409e+00
-2.849872234204176348e+06,4.656213544438119046e+06,3.287199326655031182e+06,4.964437261796524226e+00,4.916586701952948779e+00,4.974861398659799150e+00
-2.849893515531422105e+06,4.656219428279117681e+06,3.287192366450070869e+06,5.015745255512182865e+00,5.060366000845342604e+00,4.987873342492694206e+00
-2.849878340825450141e+06,4.656210623008728027e+06,3.287185229050826281e+06,5.053020015223488315e+00,5.022854762461373745e+00,4.981183812982302506e+00
-2.849884773672116920e+06,4.656217870103639551e+06,3.287198625116504729e+06,4.951413839260628613e+00,4.995464002525697111e+00,5.065924075951431682e+00
-2.849878790678740945e+06,4.656216489463946782e+06,3.287191870307833888e+06,4.941774105406170570e+00,5.091133929847273087e+00,4.950841990138703075e+00
-2.849879753768802620e+06,4.656228181567969732e+06,3.287184376105569303e+06,4.954914129748773099e+00,5.015371798263416281e+00,4.971695007845643666e+00
-2.849885423985828646e+06,4.656223343106647022e+06,3.287192236732545774e+06,5.040915574161095591e+00,4.936657903932873737e+00,5.053311999182778180e+00
-2.849884380788544193e+06,4.656212831746062264e+06,3.287202117647907697e+06,5.010033503004892808e+00,5.010083477836793087e+00,4.975910785133657477e+00
-2.849883889226805419e+06,4.656219860153834336e+06,3.287202605831681285e+06,5.076941853520781756e+00,4.899428576552919523e+00,5.017872891193095874e+00
-2.849888046563540120e+06,4.656224748576248996e+06,3.287198940506441519e+06,4.952661644916485528e+00,5.030511271184522570e+00,4.999569946150749900e+00
-2.849871539920252282e+06,4.656216510679701343e+06,3.287199009896007832e+06,4.933093193098377682e+00,5.023910187459351029e+00,4.982605445968838254e+00
-2.849886855018691160e+06,4.656210528299615718e+06,3.287209827682743315e+06,4.964280655240195905e+00,4.847108053696126184e+00,4.949606180735530714e+00
-2.849881323917103466e+06,4.656222954830783419e+06,3.287194042354777921e+06,4.987134710309237384e+00,4.980887184333142592e+00,5.055435123727876956e+00
-2.849882180395936128e+06,4.656216995252224617e+06,3.287199716449855827e+06,4.887483067309517537e+00,5.010716505274521282e+00,4.991260098146504731e+00
-2.849878611834909767e+06,4.656219477849693038e+06,3.287192424325044733e+06,4.983060772020677653e+00,5.037481086271236919e+00,4.993900972876936351e+00
-2.849871912162448280e+06,4.656231460523685440e+06,3.287203235563260037e+06,5.082558645861890767e+00,5.007380993067041430e+00,5.019589231032299814e+00
-2.849882911048470531e+06,4.656224663778723218e+06,3.287184798663012683e+06,5.035408131585702662e+00,5.000046339703567710e+00,4.962977904288960573e+00
-2.849886818830397446e+06,4.656218959712497890e+06,3.287205902210595086e+06,5.003132608619436539e+00,4.952674508334982129e+00,5.025248891421482789e+00
-2.849884900953255128e+06,4.656216959069203585e+06,3.287194552180616185e+06,4.978774737375409210e+00,4.901862772773409205e+00,4.988728714179845092e+00
