accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
8.738228405533780829e-02,1.049476587177811393e-01,-9.700389845765307939e+00
1.105150401082210243e-01,9.980242541376657672e-02,-9.692149545204197025e+00
9.643704656542696763e-02,1.039409818600706970e-01,-9.687113927587168050e+00
1.066561411886393085e-01,1.036910149270524328e-01,-9.699597495503013533e+00
1.009432978123215724e-01,9.377011640720832319e-02,-9.695177393976907254e+00
9.762542490308379062e-02,1.069484836997511429e-01,-9.687087023460716040e+00
8.580638705225768215e-02,9.770705343281127497e-02,-9.703485955880379876e+00
1.043760867470574782e-01,9.419400354313758883e-02,-9.696298836073856009e+00
1.026159852851951521e-01,8.702529714638379543e-02,-9.683537962615915262e+00
9.651910172416729161e-02,1.028082920548787360e-01,-9.690047279193349183e+00
9.662845048830544237e-02,1.093477736524088306e-01,-9.686820387676586819e+00
1.058258229493726360e-01,9.603462224817624349e-02,-9.691196192903074547e+00
9.697218833757881296e-02,1.116123791489474493e-01,-9.688426168114760983e+00
8.964170522019948573e-02,1.002129504092411916e-01,-9.698292157376002365e+00
9.405712692621256976e-02,1.051405046278021949e-01,-9.698254450808791560e+00
9.520326915898810749e-02,1.049330538137913799e-01,-9.690609253867753736e+00
1.105001650804903479e-01,8.851098950665375886e-02,-9.683213304227246354e+00
9.304566249588858140e-02,1.051838634518093979e-01,-9.682121336046209947e+00
1.012196224629053065e-01,1.082545073206523517e-01,-9.686637847277179247e+00
1.038114172939518798e-01,1.033867083188721864e-01,-9.707887943865618041e+00
8.783133511435894936e-02,9.901430256098475713e-02,-9.688439055312780823e+00
8.966775400191417944e-02,9.647513263107376780e-02,-9.695307055011980424e+00
9.649458590850619466e-02,1.055722660740461422e-01,-9.709695063561648354e+00
1.002971982173931909e-01,1.018875096845673067e-01,-9.703308429404129853e+00
8.437098733377278170e-02,9.872589708608636716e-02,-9.699314114192937097e+00
9.918464624119488482e-02,1.085355969947905674e-01,-9.684846981329084059e+00
1.059404560173788368e-01,1.109720773872659716e-01,-9.686236193676403872e+00
1.071215276523764387e-01,8.722021739384587524e-02,-9.683620758238204118e+00
1.036819083434673550e-01,1.032134630712036594e-01,-9.685481532944130834e+00
1.281393388691464685e-01,8.843737317618055593e-02,-9.695851801234008249e+00
9.282171822622084512e-02,1.011669061283238108e-01,-9.690767444206770165e+00
9.596600121350780388e-02,9.537509836884175418e-02,-9.701536757675155442e+00
1.077608111579289735e-01,8.430583904445478061e-02,-9.699865620862818005e+00
9.108189005078501377e-02,9.913185387426444450e-02,-9.700365494744222161e+00
1.112690812747653968e-01,9.539486145571983433e-02,-9.700549233247929948e+00
1.094140248725671422e-01,9.868706153328307695e-02,-9.709357804613514276e+00
1.088127288356083994e-01,9.668410597059134970e-02,-9.711408000791530881e+00
7.993691141784298182e-02,9.233465717480547619e-02,-9.711142193583937043e+00
9.129437789560276850e-02,8.920843401195503730e-02,-9.702618577146729706e+00
1.122262056994764168e-01,1.015892573051993819e-01,-9.673484277742554482e+00
1.006040766436581274e-01,1.037508442750161020e-01,-9.700615796128234436e+00
9.477373860501783764e-02,9.696240117482129994e-02,-9.682070253732002030e+00
1.068585079003426530e-01,1.207692820028460207e-01,-9.711228620429386282e+00
9.707887281050059380e-02,9.300459098296554039e-02,-9.699520685213752103e+00
1.043057009243443106e-01,1.083840540648898509e-01,-9.699274911400776134e+00
8.534093991685257063e-02,9.344052948601284936e-02,-9.686224378495966292e+00
