ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
4.939798930394963428e+00,7.735544759541965742e-01,0.000000000000000000e+00
4.938441340372689226e+00,7.821746145829595598e-01,0.000000000000000000e+00
4.937068703816251514e+00,7.907923961433366289e-01,0.000000000000000000e+00
4.935681025185319371e+00,7.994077918219183454e-01,0.000000000000000000e+00
4.934278308961567383e+00,8.080207730692190449e-01,0.000000000000000000e+00
4.932860559650640297e+00,8.166313115740606587e-01,0.000000000000000000e+00
4.931427781783964015e+00,8.252393792405287032e-01,0.000000000000000000e+00
4.929979979920402045e+00,8.338449481672438601e-01,0.000000000000000000e+00
4.928517158647784946e+00,8.424479906287176689e-01,0.000000000000000000e+00
4.927039322584311876e+00,8.510484790585817194e-01,0.000000000000000000e+00
4.925546476379835781e+00,8.596463860345053831e-01,0.000000000000000000e+00
4.924038624717043788e+00,8.682416842646307753e-01,0.000000000000000000e+00
4.922515772312541671e+00,8.768343465753749566e-01,0.000000000000000000e+00
4.920977923917840613e+00,8.854243459004609296e-01,0.000000000000000000e+00
4.919425084320271147e+00,8.940116552710558606e-01,0.000000000000000000e+00
4.917857258343810045e+00,9.025962478069036177e-01,0.000000000000000000e+00
4.916274450849844158e+00,9.111780967083547011e-01,0.000000000000000000e+00
4.914676666737864963e+00,9.197571752492017527e-01,0.000000000000000000e+00
4.913063910946102730e+00,9.283334567702400397e-01,0.000000000000000000e+00
4.911436188452112717e+00,9.369069146734821940e-01,0.000000000000000000e+00
4.909793504273300080e+00,9.454775224169591485e-01,0.000000000000000000e+00
4.908135863467406601e+00,9.540452535100498732e-01,0.000000000000000000e+00
4.906463271132952997e+00,9.626100815092883956e-01,0.000000000000000000e+00
