gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849868269419985358e+06,4.656275268734213896e+06,3.287188818510829005e+06,-4.619944216685106575e+00,1.931066143978519056e+00,-1.614146240323416359e-02
-2.849873790727912448e+06,4.656269784594104625e+06,3.287185272109371144e+06,-4.660115190379784167e+00,1.982179533735375143e+00,2.406562197287995947e-02
-2.849875625832145102e+06,4.656266727911897004e+06,3.287182777543504257e+06,-4.623380866697490710e+00,1.941357402254130893e+00,3.336422643156481543e-02
-2.849875106167886406e+06,4.656267856700867414e+06,3.287189973288021516e+06,-4.651980086888501731e+00,1.963053714467236643e+00,5.764390198428708673e-02
-2.849876192244522274e+06,4.656275432081571780e+06,3.287192038245116826e+06,-4.601194151211721817e+00,1.940763135106586157e+00,1.234608496265352517e-01
-2.849872255298317876e+06,4.656271633602492511e+06,3.287202041280382778e+06,-4.569550407097131561e+00,1.911965238627667985e+00,-3.021086469236822919e-02
-2.849874883595313411e+06,4.656275740178044885e+06,3.287173148886021692e+06,-4.716904871048222425e+00,1.883785205866028933e+00,7.808533081410956589e-02
-2.849878310911239590e+06,4.656273330650401302e+06,3.287196037190127652e+06,-4.546398782032851749e+00,1.856537502988714117e+00,8.437511614798474946e-02
-2.849876401833801996e+06,4.656271016796963289e+06,3.287194314603770152e+06,-4.656293306940146870e+00,1.902176633030032704e+00,5.302177354270810883e-02
-2.849876897663854063e+06,4.656276166981726885e+06,3.287195270479498897e+06,-4.634348420328959328e+00,1.889727583329050109e+00,9.204264170449799609e-02
-2.849872130079770461e+06,4.656265791325709783e+06,3.287190817843971308e+06,-4.636845483255323863e+00,1.764009377983577043e+00,2.210651204169666872e-02
-2.849871883574073669e+06,4.656276371298816986e+06,3.287201502998812124e+06,-4.622231415835840629e+00,1.916357090809041708e+00,-1.401824139754773157e-02
-2.849881893724665977e+06,4.656265992706948891e+06,3.287186688478984404e+06,-4.623770168763188693e+00,1.870485504350669181e+00,-6.750909051727302379e-02
-2.849875248184449039e+06,4.656268101728896610e+06,3.287183084426074754e+06,-4.641574681038199479e+00,1.839325229784378735e+00,2.472156506846959895e-02
-2.849879464849371463e+06,4.656270397720905021e+06,3.287188771389169153e+06,-4.657425240334854166e+00,1.860633515991382492e+00,-1.069195128908949910e-01
-2.849872242284853011e+06,4.656266924677737989e+06,3.287192679974956438e+06,-4.677207942282612052e+00,1.770705305197332713e+00,3.756349898483397204e-02
-2.849874183581031859e+06,4.656265570951586589e+06,3.287207277103643864e+06,-4.664505639001690795e+00,1.805844797452365036e+00,-4.264029171275464380e-02
-2.849875297920079436e+06,4.656267176936937496e+06,3.287192449814478401e+06,-4.585115761845538707e+00,1.800746107371993032e+00,6.432860200480481488e-03
-2.849874751947450452e+06,4.656259438471185043e+06,3.287186190186696127e+06,-4.665274634581774826e+00,1.797551736852990301e+00,-4.194972008106487987e-02
-2.849870266341208946e+06,4.656267323888024315e+06,3.287194782843734603e+06,-4.662369165532043169e+00,1.886408927751413778e+00,-5.764344912346847094e-02
-2.849877373385414947e+06,4.656273936682048254e+06,3.287185928206698038e+06,-4.680050413713638946e+00,1.761492015239612519e+00,6.820544999503889982e-02
-2.849869291611893568e+06,4.656271618285144679e+06,3.287182383387914393e+06,-4.714436895998812993e+00,1.793068513498230709e+00,-2.660754474023283023e-02
-2.849875469531026669e+06,4.656266118080026470e+06,3.287193568307721522e+06,-4.723693241379208096e+00,1.814906666761831211e+00,-6.336647656339906842e-02
-2.849877025002379436e+06,4.656274257150088437e+06,3.287190791021297686e+06,-4.660426390086803039e+00,1.853918866876073768e+00,-2.368429832479164443e-02
-2.849882863321389072e+06,4.656263724191322923e+06,3.287198964164392557e+06,-4.680634258713890716e+00,1.832360951223761081e+00,7.261919648791921589e-03
-2.849869966954488307e+06,4.656276070005592890e+06,3.287187410918490496e+06,-4.691413174556051224e+00,1.787803870535992434e+00,-6.788860359119455734e-02
-2.849872285120362882e+06,4.656260285091957077e+06,3.287184160675727297e+06,-4.648347914635268197e+00,1.732296862362171730e+00,2.667568612934000452e-02
-2.849878781953672878e+06,4.656272058414583094e+06,3.287183562043160666e+06,-4.701502800902610524e+00,1.709771715262314862e+00,2.189222205828623979e-02
-2.849877007333283313e+06,4.656266732073963620e+06,3.287192527821944095e+06,-4.666470949653579225e+00,1.684186855861602217e+00,6.565747234390627296e-02
-2.849868821827892680e+06,4.656265451928132214e+06,3.287194877343580592e+06,-4.743730582672770701e+00,1.619111806043695312e+00,1.527222645943720342e-02
-2.849871905456188135e+06,4.656276309640880674e+06,3.287191918662752490e+06,-4.692762634153950785e+00,1.706025563681711876e+00,4.391431271810469078e-02
-2.849874013800099026e+06,4.656272345454181544e+06,3.287191219729453325e+06,-4.685328531241702343e+00,1.717296563443962309e+00,-8.961244710320786719e-04
-2.849871537080840673e+06,4.656269076163020916e+06,3.287191137574531604e+06,-4.679187009454333079e+00,1.652122708076619650e+00,-3.719473039526902808e-02
