ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.450000008083304515e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.460000007274973832e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.470000006547476268e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.480000005892728687e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.490000005303455843e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000004773110085e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.510000004295799236e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.520000003866219274e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.530000003479597304e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.540000003131637740e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.550000002818473988e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.560000002536626518e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.570000002282963969e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.580000002054667618e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.590000001849200828e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000001664280802e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.610000001497852651e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.620000001348067187e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.630000001213260674e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.640000001091934578e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.650000000982741000e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.660000000884467042e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.670000000796020245e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.680000000716418285e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.690000000644776179e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000580298476e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.710000000522268593e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.720000000470041712e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.730000000423037676e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.740000000380733525e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000342660300e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.760000000308394164e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.770000000277554619e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.780000000249799186e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.790000000224819132e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000202336992e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.810000000182103363e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.820000000163893006e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.830000000147503769e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.840000000132753044e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.850000000119477761e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.860000000107530127e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.870000000096776915e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.880000000087099110e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.890000000078389419e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000070550144e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.910000000063495307e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.920000000057145328e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.930000000051430931e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.940000000046287809e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.950000000041658765e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.960000000037492995e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.970000000033743603e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.980000000030369023e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.990000000027331950e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000024598634e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.010000000022138877e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.020000000019924968e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.030000000017932393e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.040000000016139126e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.050000000014524915e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.060000000013072352e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.070000000011765096e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.080000000010588934e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.090000000009530012e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000008576961e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.110000000007719478e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.120000000006947261e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.130000000006252847e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.140000000005627356e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.150000000005064749e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.160000000004558629e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.170000000004102958e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.180000000003692406e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.190000000003323422e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000002991030e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.210000000002692033e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.220000000002422880e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.230000000002180727e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.240000000001962377e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000001766054e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.260000000001589626e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.270000000001430607e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.280000000001287574e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.290000000001158753e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000001043077e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.310000000000938769e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.320000000000844764e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.330000000000760352e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.340000000000684111e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.350000000000616041e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.360000000000554365e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.370000000000498730e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.380000000000448779e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.390000000000404157e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000363798e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.410000000000327347e+01,0.000000000000000000e+00,0.000000000000000000e+00
