ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.838986548250875901e+06,4.666833592941934243e+06,3.297809920463122427e+06,1.746999999999736133e+02,1.696999999999724764e+02,1.696999999999724764e+02
-2.838984801250875462e+06,4.666835289941934869e+06,3.297811617463122588e+06,1.746499999999736019e+02,1.696499999999724650e+02,1.696499999999724650e+02
-2.838983054750875570e+06,4.666836986441934481e+06,3.297813313963122666e+06,1.745999999999735905e+02,1.695999999999724537e+02,1.695999999999724537e+02
-2.838981308750875760e+06,4.666838682441934012e+06,3.297815009963122662e+06,1.745499999999735792e+02,1.695499999999724423e+02,1.695499999999724423e+02
-2.838979563250875566e+06,4.666840377941934392e+06,3.297816705463122576e+06,1.744999999999735678e+02,1.694999999999724309e+02,1.694999999999724309e+02
-2.838977818250875920e+06,4.666842072941934690e+06,3.297818400463122409e+06,1.744499999999735564e+02,1.694499999999724196e+02,1.694499999999724196e+02
-2.838976073750875890e+06,4.666843767441933975e+06,3.297820094963122625e+06,1.743999999999735451e+02,1.693999999999724082e+02,1.693999999999724082e+02
-2.838974329750875477e+06,4.666845461441934109e+06,3.297821788963122759e+06,1.743499999999735337e+02,1.693499999999723968e+02,1.693499999999723968e+02
-2.838972586250875611e+06,4.666847154941934161e+06,3.297823482463122811e+06,1.742999999999735223e+02,1.692999999999723855e+02,1.692999999999723855e+02
-2.838970843250875827e+06,4.666848847941934131e+06,3.297825175463122781e+06,1.742499999999735110e+02,1.692499999999723741e+02,1.692499999999723741e+02
-2.838969100750875659e+06,4.666850540441934019e+06,3.297826867963122670e+06,1.741999999999734996e+02,1.691999999999723627e+02,1.691999999999723627e+02
-2.838967358750875574e+06,4.666852232441934757e+06,3.297828559963122476e+06,1.741499999999734882e+02,1.691499999999723514e+02,1.691499999999723514e+02
-2.838965617250875570e+06,4.666853923941934481e+06,3.297830251463122666e+06,1.740999999999734769e+02,1.690999999999723400e+02,1.690999999999723400e+02
-2.838963876250875648e+06,4.666855614941934124e+06,3.297831942463122774e+06,1.740499999999734655e+02,1.690499999999723286e+02,1.690499999999723286e+02
-2.838962135750875808e+06,4.666857305441934615e+06,3.297833632963122800e+06,1.739999999999734541e+02,1.689999999999723173e+02,1.689999999999723173e+02
-2.838960395750875585e+06,4.666858995441934094e+06,3.297835322963122744e+06,1.739499999999734428e+02,1.689499999999723059e+02,1.689499999999723059e+02
-2.838958656250875909e+06,4.666860684941934422e+06,3.297837012463122606e+06,1.738999999999734314e+02,1.688999999999722945e+02,1.688999999999722945e+02
-2.838956917250875849e+06,4.666862373941934668e+06,3.297838701463122386e+06,1.738499999999734200e+02,1.688499999999722831e+02,1.688499999999722831e+02
-2.838955178750875872e+06,4.666864062441934831e+06,3.297840389963122550e+06,1.737999999999734086e+02,1.687999999999722718e+02,1.687999999999722718e+02
-2.838953440750875510e+06,4.666865750441933982e+06,3.297842077963122632e+06,1.737499999999733973e+02,1.687499999999722604e+02,1.687499999999722604e+02
-2.838951703250875697e+06,4.666867437941933982e+06,3.297843765463122632e+06,1.736999999999733859e+02,1.686999999999722490e+02,1.686999999999722490e+02
-2.838949966250875499e+06,4.666869124941934831e+06,3.297845452463122550e+06,1.736499999999733745e+02,1.686499999999722377e+02,1.686499999999722377e+02
-2.838948229750875849e+06,4.666870811441934668e+06,3.297847138963122386e+06,1.735999999999733632e+02,1.685999999999722263e+02,1.685999999999722263e+02
-2.838946493750875816e+06,4.666872497441934422e+06,3.297848824963122606e+06,1.735499999999733518e+02,1.685499999999722149e+02,1.685499999999722149e+02
-2.838944758250875864e+06,4.666874182941934094e+06,3.297850510463122744e+06,1.734999999999733404e+02,1.684999999999722036e+02,1.684999999999722036e+02
-2.838943023250875529e+06,4.666875867941934615e+06,3.297852195463122800e+06,1.734499999999733291e+02,1.684499999999721922e+02,1.684499999999721922e+02
-2.838941288750875741e+06,4.666877552441934124e+06,3.297853879963122774e+06,1.733999999999733177e+02,1.683999999999721808e+02,1.683999999999721808e+02
-2.838939554750875570e+06,4.666879236441934481e+06,3.297855563963122666e+06,1.733499999999733063e+02,1.683499999999721695e+02,1.683499999999721695e+02
-2.838937821250875480e+06,4.666880919941934757e+06,3.297857247463122476e+06,1.732999999999732950e+02,1.682999999999721581e+02,1.682999999999721581e+02
-2.838936088250875473e+06,4.666882602941934019e+06,3.297858930463122670e+06,1.732499999999732836e+02,1.682499999999721467e+02,1.682499999999721467e+02
-2.838934355750875548e+06,4.666884285441934131e+06,3.297860612963122781e+06,1.731999999999732722e+02,1.681999999999721354e+02,1.681999999999721354e+02
