gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849878041275370400e+06,4.656209687378535047e+06,3.287196712064374704e+06,7.650408764255101524e+00,2.660833559496395218e+00,2.702330079358485904e+00
-2.849885769736301620e+06,4.656212795002758503e+06,3.287192332257382106e+06,7.745345478439507048e+00,2.762178594211330385e+00,2.769699565700856958e+00
-2.849890651607649401e+06,4.656219009404824115e+06,3.287198069955016952e+06,7.877698396424645644e+00,2.789930355418111407e+00,2.777227499377094233e+00
-2.849888442976078950e+06,4.656218062192524783e+06,3.287193838573938236e+06,7.901593254584202697e+00,2.909177383036715803e+00,2.915038702034277840e+00
-2.849884214600966778e+06,4.656217085503626615e+06,3.287192321953623090e+06,8.044106905778384942e+00,2.981244528200666544e+00,3.096121863347812919e+00
-2.849884760531346314e+06,4.656212485649803653e+06,3.287184144226646051e+06,8.179941021511286436e+00,3.098164419854072538e+00,3.021101087652692918e+00
-2.849881851193151437e+06,4.656206312950991094e+06,3.287197052632474806e+06,8.263989763733460947e+00,3.179128068519963879e+00,3.180587453036040291e+00
-2.849887161790822633e+06,4.656213480258125812e+06,3.287185162632760592e+06,8.346534952116243744e+00,3.231326734326601891e+00,3.252213568908300712e+00
-2.849885341693815310e+06,4.656207073030214757e+06,3.287182783932988998e+06,8.455742103413154354e+00,3.262930397580333430e+00,3.329144342341272989e+00
-2.849885378805230837e+06,4.656207981876893900e+06,3.287185544469566550e+06,8.509958703329727925e+00,3.525827394516218849e+00,3.471561717517324563e+00
-2.849885815206497442e+06,4.656221729072196409e+06,3.287203527717255522e+06,8.595800400506256267e+00,3.605761329314509211e+00,3.654870915366223549e+00
-2.849882073198555037e+06,4.656202613003939390e+06,3.287199973301794846e+06,8.610069935891889514e+00,3.651136602955641575e+00,3.787345016985067758e+00
-2.849890676022250205e+06,4.656213266935111955e+06,3.287197505954559427e+06,8.777888050470151526e+00,3.772901331142558767e+00,3.886327130260463836e+00
-2.849883044327549636e+06,4.656223266306068748e+06,3.287189428579141386e+06,8.890837798007854786e+00,3.798834383850108409e+00,3.957547162770044924e+00
-2.849879498837552033e+06,4.656218694155301899e+06,3.287191813558384310e+06,8.958012832229924172e+00,3.959051566068712891e+00,3.917842447699958708e+00
-2.849881144365972839e+06,4.656211880415565334e+06,3.287198704993381165e+06,9.084838331312035109e+00,4.157863671260776606e+00,4.119846570630806504e+00
-2.849887732792939525e+06,4.656220861767974682e+06,3.287184648008114193e+06,9.230413622641345128e+00,4.210167389144962691e+00,4.145757442648453583e+00
-2.849886282679643948e+06,4.656204104689311236e+06,3.287198171896649059e+06,9.368182563339678026e+00,4.278328346622184419e+00,4.272444946798377607e+00
-2.849874272561001591e+06,4.656217063208393753e+06,3.287189644844060298e+06,9.363451019663132868e+00,4.348144090685347685e+00,4.372044620295851836e+00
-2.849884959408280440e+06,4.656216823036505841e+06,3.287198725404993165e+06,9.564932306397592399e+00,4.523874485255927169e+00,4.553210443724560186e+00
-2.849894648035123479e+06,4.656209010360345244e+06,3.287191544327882119e+06,9.573175760493171538e+00,4.636510927034064089e+00,4.564493291500426153e+00
-2.849882331811189186e+06,4.656214144221335649e+06,3.287188482455826364e+06,9.701641248032807141e+00,4.772142645912716752e+00,4.604341302049409279e+00
-2.849886691969728563e+06,4.656226042111887597e+06,3.287178660464911722e+06,9.794598853295008567e+00,4.837953068524916134e+00,4.912302059739539040e+00
-2.849879867316852324e+06,4.656215912142758258e+06,3.287189332171560265e+06,9.909000924987457992e+00,4.865733457627121616e+00,4.989737931173269914e+00
-2.849887094938878901e+06,4.656220990571532398e+06,3.287183891983862035e+06,1.005665565969227693e+01,4.971028971621566761e+00,5.026292050479670870e+00
-2.849884139014103916e+06,4.656219398241227493e+06,3.287185227213882841e+06,1.013902521005508817e+01,5.126353874310088266e+00,5.034592172612482486e+00
-2.849880467470243573e+06,4.656220459318863228e+06,3.287192605732394848e+06,1.020377992662041500e+01,5.156521737646474257e+00,5.230812735527162083e+00
-2.849875075533532538e+06,4.656216710371488705e+06,3.287183213082143571e+06,1.026261557082198195e+01,5.327177479364531898e+00,5.258940844679797166e+00
-2.849878313914149068e+06,4.656218170275463723e+06,3.287204517364881001e+06,1.041365175158381184e+01,5.457547569133791576e+00,5.407584577342398724e+00
-2.849883009919664357e+06,4.656215645985254087e+06,3.287187214753950480e+06,1.048665409739978394e+01,5.476260558393882150e+00,5.566953491694587086e+00
-2.849884985306841787e+06,4.656215008982721716e+06,3.287198445475724526e+06,1.054922330044522205e+01,5.612600221709416637e+00,5.516533737424225592e+00
-2.849882538135706447e+06,4.656213201581924222e+06,3.287190866618731525e+06,1.074504741378120976e+01,5.647968616623702864e+00,5.691652841783744421e+00
-2.849886318286098074e+06,4.656212941551934928e+06,3.287201135144315194e+06,1.082205055732132770e+01,5.751913799609845057e+00,5.808730882483957636e+00
-2.849889018738595303e+06,4.656209891087092459e+06,3.287179859091381542e+06,1.094230317007530218e+01,5.911472301122533857e+00,5.908552053386428859e+00
-2.849881329153713305e+06,4.656209741236762144e+06,3.287195979836721439e+06,1.089114716993114129e+01,5.928756630720092957e+00,5.977248188897426928e+00
-2.849875156359256245e+06,4.656218463172838092e+06,3.287187885329711251e+06,1.109337096028742842e+01,6.053668862287422847e+00,6.156983650136857555e+00
