ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999960132765215448e+00,9.999960132765215448e+00,2.057436623658599473e-01
9.999964119488694791e+00,9.999964119488694791e+00,2.057476490893392906e-01
9.999967707539825668e+00,9.999967707539825668e+00,2.057512371404701668e-01
9.999970936785842923e+00,9.999970936785842923e+00,2.057544663864874224e-01
9.999973843107259341e+00,9.999973843107259341e+00,2.057573727079038406e-01
9.999976458796533407e+00,9.999976458796533407e+00,2.057599883971779064e-01
9.999978812916880955e+00,9.999978812916880955e+00,2.057623425175254539e-01
9.999980931625193747e+00,9.999980931625193747e+00,2.057644612258382466e-01
9.999982838462674550e+00,9.999982838462674550e+00,2.057663680633190495e-01
9.999984554616407451e+00,9.999984554616407451e+00,2.057680842170519497e-01
9.999986099154767771e+00,9.999986099154767771e+00,2.057696287554122705e-01
9.999987489239291705e+00,9.999987489239291705e+00,2.057710188399362039e-01
9.999988740315362890e+00,9.999988740315362890e+00,2.057722699160073887e-01
