accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.068356800062318784e-01,1.067619327697845594e-01,-9.706439043872384431e+00
1.064161985415146700e-01,1.043549140145207110e-01,-9.686635968369438743e+00
1.134627673448764251e-01,9.747403430026575777e-02,-9.684326596540410392e+00
1.070874232662461373e-01,1.006277064955036493e-01,-9.693545747642186683e+00
1.068012740359299134e-01,9.650073586255766833e-02,-9.693977750138291327e+00
9.543343218143184037e-02,1.101525099273309161e-01,-9.686730881200585230e+00
9.672007548286291889e-02,9.807026960957038186e-02,-9.693676264467514514e+00
9.426613019138203875e-02,9.378982365824613254e-02,-9.689090252465184960e+00
9.915464457562823963e-02,1.010016343142495637e-01,-9.685700168118739128e+00
9.583008792926832331e-02,1.001579336931822523e-01,-9.700730973300755622e+00
9.105534344046051221e-02,9.717908036121067350e-02,-9.689940465421196691e+00
1.079526795092708852e-01,1.016905823859643732e-01,-9.694043024613005599e+00
9.875645531098870000e-02,8.886357264731273298e-02,-9.685722309918164186e+00
1.041157910693939065e-01,1.008674163447146471e-01,-9.696085923833207332e+00
9.313958789235779467e-02,1.110307618070888597e-01,-9.686622302847744947e+00
9.470577988423109494e-02,9.827945366815203643e-02,-9.700864100359778419e+00
1.038041324846094571e-01,8.745044008184155171e-02,-9.694494308150098050e+00
8.436143051525690773e-02,1.120445821973369560e-01,-9.692715739795104923e+00
1.068524085685974429e-01,9.610268983354568195e-02,-9.687845946847144063e+00
8.985637201341081792e-02,1.026109185113149858e-01,-9.719894318690512236e+00
1.051891934274412493e-01,1.096653161204065585e-01,-9.700587613468190540e+00
9.115576422621429753e-02,9.874532900481564068e-02,-9.692885863146218028e+00
1.110116159450834500e-01,1.108427556328228925e-01,-9.689133818393328212e+00
1.019736370719315360e-01,1.127254950895156954e-01,-9.683885929225274580e+00
9.594142917798768877e-02,9.635535889207606786e-02,-9.705753783488013653e+00
1.040041473275031131e-01,1.060544498789260243e-01,-9.691752577242242594e+00
9.017176793926667822e-02,9.819256140534746158e-02,-9.694539549042440640e+00
9.120697560400908843e-02,1.025530923039805614e-01,-9.692969778488260246e+00
1.112946510733437283e-01,1.089403624012208471e-01,-9.703873097620608235e+00
9.494840457889941465e-02,1.008500028030841350e-01,-9.703102261713732801e+00
1.037431303699336838e-01,1.139222421146102726e-01,-9.695376712544479858e+00
1.096340514839935221e-01,1.029024928444688264e-01,-9.695793623779715986e+00
8.515262445501604882e-02,9.027400502650287373e-02,-9.687977179904478930e+00
9.149883661718530292e-02,9.685503670500518469e-02,-9.699641480364050494e+00
9.687181898258509505e-02,1.046492720652979491e-01,-9.692584145029833564e+00
1.081880370823820603e-01,1.142652370787969329e-01,-9.691185887574160773e+00
1.020367577190421926e-01,1.102775515551759067e-01,-9.690146058550311636e+00
1.064684760685508241e-01,9.604128764096712956e-02,-9.696734473791710940e+00
